# fixed mirror figure, mode=mean_cos, layout=pf36000
# generated 2026-08-01 by scripts/build_fixed_shapes.py: 4876 timesteps over 365 days of 2026, day stride 1
# mean_cos weight = trapezoid daylight hours x cos(AOI); median = time-weighted component-wise median
heliostat,x_mm,y_mm,c3,c4,c5
184,-44277.734254523304,-25563.761790955803,2.7531231747327472e-08,-1.2003330940910894e-06,1.1340241495404176e-07
185,-40562.191614528405,-31124.4643174015,1.69725745751659e-08,-1.1959428060165063e-06,1.3869933169690242e-07
186,-36152.6186300447,-36152.6186300448,9.337254647701661e-09,-1.1915631637889606e-06,1.503832156165664e-07
187,-31124.4643174014,-40562.191614528405,4.902679087047926e-09,-1.1874465856941532e-06,1.5609703083629959e-07
188,-25563.761790955698,-44277.734254523304,2.434903075614432e-09,-1.1838065029888166e-06,1.5894968300198546e-07
189,-19565.6562126529,-47235.6725853162,1.1141397267923223e-09,-1.180811867176902e-06,1.603429553005219e-07
190,-13232.7768319269,-49385.3954619717,4.511919050420736e-10,-1.1785881367176141e-06,1.6098048352700713e-07
191,-6673.48097078771,-50690.1205300545,1.4636820077224657e-10,-1.1772209225093076e-06,1.612383394635645e-07
192,8.14287524808883e-11,-51127.5235819115,-2.9688282898486415e-13,-1.17675980082562e-06,1.613050977851884e-07
193,3690.00801333362,-56298.6429895466,8.895182682002016e-10,-1.10104013684202e-06,1.5478183892157752e-07
194,11006.8869798294,-55335.3575990628,2.6144545606333203e-09,-1.1019787277084704e-06,1.546785195065077e-07
195,18135.4350584147,-53425.2688981994,4.158052863968285e-09,-1.1038246388839834e-06,1.5436814924811046e-07
196,24953.6808150581,-50601.0590342049,5.333211355398984e-09,-1.1065131947360684e-06,1.5361618107523994e-07
197,31344.962174488403,-46911.0510208712,5.823956431294779e-09,-1.1099421594983814e-06,1.5198595548304928e-07
198,37199.9225406478,-42418.3819183699,5.060613025742106e-09,-1.1139664622054486e-06,1.486561237277713e-07
199,42418.38191836981,-37199.922540647894,1.9869316463181608e-09,-1.1183935888725998e-06,1.4190815991190643e-07
200,46911.0510208712,-31344.9621744885,-4.9847917211199115e-09,-1.122983223930281e-06,1.2745494231143665e-07
201,50601.0590342049,-24953.6808150582,-1.4838160368712474e-08,-1.1274565024844224e-06,9.242713931992103e-08
202,53425.2688981994,-18135.4350584149,-3.1628682529051697e-09,-1.1315190876712835e-06,4.264138751818601e-08
203,55335.3575990627,-11006.8869798295,1.2323765100715795e-08,-1.1348949637399065e-06,5.7293831055194314e-08
204,56298.6429895466,-3690.00801333376,1.7121484208268633e-08,-1.1373592383921678e-06,7.385596710852355e-08
205,56298.6429895466,3690.00801333368,2.1168354886069276e-08,-1.1387601517339915e-06,8.326999727755747e-08
206,55335.3575990627,11006.8869798294,2.784468461414097e-08,-1.1390311513443086e-06,8.392901355636264e-08
207,53425.2688981994,18135.435058414798,4.2828052418718576e-08,-1.1381986640034754e-06,7.918301639030284e-08
208,50601.0590342049,24953.6808150581,7.171267330759172e-08,-1.1363855016332715e-06,8.259500298777827e-08
209,46911.0510208712,31344.962174488403,9.229704395049627e-08,-1.1338021840026232e-06,1.1323036535362465e-07
210,42418.3819183699,37199.922540647894,5.4990564742239486e-08,-1.1307204883379808e-06,1.4532010743553354e-07
211,37199.922540647894,42418.38191836981,3.919884517748611e-08,-1.1274359717746893e-06,1.6562410317800496e-07
212,31344.962174488403,46911.0510208712,2.4921046474793413e-08,-1.1242334751992052e-06,1.7803734672331283e-07
213,24953.6808150581,50601.0590342049,1.6730417739362333e-08,-1.1213639293673553e-06,1.880675681056469e-07
214,18135.435058414798,53425.2688981994,1.059495581798047e-08,-1.1190322582417715e-06,1.9460787957994083e-07
215,11006.8869798295,55335.3575990627,5.842843590859597e-09,-1.1173926064883064e-06,1.9910860283173767e-07
216,3690.00801333372,56298.6429895466,1.9381949104579244e-09,-1.11654732426145e-06,2.01176643471881e-07
217,-3690.0080133337096,56298.6429895466,-1.9387518912548864e-09,-1.1165473498403235e-06,2.0117669652094902e-07
218,-11006.8869798295,55335.3575990627,-5.8433677209460324e-09,-1.117392683171053e-06,1.9910864819877413e-07
219,-18135.435058414798,53425.2688981994,-1.0595561687105879e-08,-1.1190323858296227e-06,1.9460801592291081e-07
220,-24953.6808150581,50601.0590342049,-1.6730859573908276e-08,-1.1213641073993414e-06,1.8806774966301422e-07
221,-31344.962174488403,46911.0510208712,-2.492183816698796e-08,-1.1242337027315538e-06,1.7803741082239027e-07
222,-37199.922540647894,42418.38191836981,-3.919885300671866e-08,-1.1274362469951286e-06,1.6562503686731735e-07
223,-42418.3819183699,37199.922540647894,-5.499348019718432e-08,-1.1307208078631787e-06,1.4531688940304144e-07
224,-46911.0510208712,31344.962174488403,-9.229678802985747e-08,-1.1338025415354591e-06,1.1322973456622747e-07
225,-50601.0590342049,24953.6808150581,-7.171375300163273e-08,-1.1363858855208998e-06,8.2595636961966e-08
226,-53425.2688981994,18135.435058414798,-4.283241731952508e-08,-1.1381990537877368e-06,7.917842904299046e-08
227,-55335.3575990627,11006.8869798294,-2.7847685021211615e-08,-1.1390315154506542e-06,8.391950237775574e-08
228,-56298.6429895466,3690.0080133337,-2.116713607502465e-08,-1.1387604503458248e-06,8.32592348761781e-08
229,-56298.6429895466,-3690.00801333376,-1.7113409239860574e-08,-1.1373594333570073e-06,7.385301061503085e-08
230,-55335.3575990627,-11006.8869798295,-1.2318152550056006e-08,-1.1348950317198372e-06,5.729501452090653e-08
231,-53425.2688981994,-18135.435058414798,3.1643087836023858e-09,-1.1315190291130753e-06,4.2650872732201665e-08
232,-50601.0590342049,-24953.6808150582,1.4840187629251283e-08,-1.1274563406451719e-06,9.243222692343901e-08
233,-46911.0510208712,-31344.9621744885,4.9834975555879165e-09,-1.1229829948317402e-06,1.2745703610733787e-07
234,-42418.38191836981,-37199.922540647894,-1.988011529495903e-09,-1.1183933294828713e-06,1.4190921029395384e-07
